ur,ul,omegaR_measured,omegaL_measured
-0.3508801466373314,-0.09351336191596077,0.016755187674322977,0.019693022907058804
-0.367244605303341,-0.05940869608062948,-1.0229042218108793,-0.24881359789747254
-0.3749872245313692,-0.025023494605650346,-5.768576954216331,-1.2682131325666952
-0.3739262300520339,0.009479871086498769,-10.034098429674064,-0.6095815186828741
-0.3640865309420468,0.043938471586437225,-11.735796099175118,-0.11724394077701396
-0.3456991348312525,0.07818958887188188,-9.949039106710698,0.036579008427558256
-0.3191957245127008,0.11207148468344984,-2.1947062750848083,0.028169829919386664
-0.2851985232812356,0.1454241642738882,0.03461836024577713,-0.0064143697002451185
-0.244505686933091,0.17809013192421774,-0.041397084685106035,-0.0027933422127909267
-0.1980725653800234,0.20991513465913153,-0.13354384382092557,0.04146479331864201
-0.14698927380099977,0.24074889064973792,-0.14119983822064788,-0.015505968278741537
-0.09245509989581938,0.27044579886402975,-2.5384358876773283,0.9607259125705291
-0.03575034808421647,0.29886562661401445,-1.7557559375994483,3.43108160240587
0.021793718332918814,0.32587417175282674,-0.42110527247722546,1.1606852857936292
0.07882613137922291,0.35134389639483066,-0.1119381954627621,-0.061314336065742256
0.13400793521723753,0.37515452916621234,0.05048695800240916,0.05915302680370877
0.1860436209525669,0.3971936331421503,0.24582072871954824,0.011703739630714293
0.23371154142967315,0.41735713678869335,1.3836257562398016,0.833518576201318
0.27589259196802207,0.43554982540216675,0.37460209734273114,0.00648274835824718
0.311596483697974,0.45168579072546633,0.07069423592313027,0.09398315188157179
0.3399849926746123,0.4656888366180949,0.041547209368559865,0.02017688265201327
0.36039163894766485,0.4774928388643116,0.3192104405085963,0.3442894201079541
0.37233733357996773,0.48704205742033496,-0.32462832038406675,-0.3551723471716657
0.3755416262678064,0.4942913996261251,-0.008302765371699791,0.05817259434851966
0.36992928950159215,0.4992066331388286,-0.04512636244259414,-0.19275008350505615
0.35563208468985624,0.5017645475823811,0.2109804389545894,0.26580162396973084
0.33298566878308444,0.5019530641499426,-0.31339662190674683,-0.2994896052860346
0.30252171402090855,0.49977129264160347,-0.008757844826456097,0.09929877814333156
0.26495542580815123,0.495229535668026,0.04506110426919794,-0.21415210991156103
0.22116875176385078,0.4883492400001673,0.07260418388273378,0.16760603855105888
0.17218967614613087,0.4791628952948199,-0.07269177263680529,-0.15116879852159307
0.11916808575985853,0.46771388067419967,0.1436241192662998,0.15547261822281802
0.06334877394564462,0.4540562598840508,0.18461330201550807,0.17959058756155755
0.006042216438328713,0.4382545259975635,-0.13771031000247588,-0.09486136241856923
-0.051406194806872675,0.4203832968706384,-0.04970052989676355,-0.1098758315693017
-0.10764773751992536,0.4005269627866041,-0.2656249392866565,-0.05073441657489842
-0.16136202320767032,0.3787792879542521,-0.10719869975323154,-0.006716566036242327
-0.2112879960505342,0.35524296774096886,-0.043309514630059,-0.17138225873004193
-0.2562535388399293,0.3300291437317689,-0.15366306253788403,0.34246133350963986
-0.29520299089473856,0.30325687890417863,-0.10119640217980123,0.25626390194582177
-0.32722193191588855,0.2750525953972748,-0.24328383722935926,0.7733226079904771
-0.35155864992593566,0.24554947752979236,-0.642161439458363,0.7057967693906687
-0.3676417892886087,0.21488684288633866,-1.4841382289937393,0.5095618875426895
-0.3750937644839541,0.1832094844415185,-2.1463799635316767,3.036896408593174
-0.37373962472249184,0.15066698682855906,-2.9064650394484235,2.142269828159222
-0.3636111612829265,0.11741301998108794,-2.8934741216442608,3.467034297709289
-0.3449461611450208,0.08360461348359105,-2.7889745316535395,3.3277376331627453
-0.31818282444017304,0.049401415057159496,-3.2499400613261358,2.094060450118739
-0.28394947678177856,0.01496493668205207,-2.446057591147621,0.9923135284655277
-0.24304981800006933,-0.019542208083017824,-1.3237137855407626,-0.10896524475151716
-0.1964440535983838,-0.053957071983392065,-0.18592090686107354,0.04297743437740242
-0.14522635190963448,-0.0881171435267381,-1.708732023025701,-0.4654101063642404
-0.09059915619361575,-0.12186111438358362,-2.4705719920258327,-2.2286741428831522
-0.03384495475269943,-0.15502964110636747,-1.4956576815044185,-2.471380915138609
0.023703828178181844,-0.18746609757005595,-0.6617508439485735,-4.544908615327627
0.08069611389258537,-0.21901731458121118,0.17341504441979694,-6.324686371113029
0.13579388862655867,-0.24953430316296785,1.8395598581098702,-8.10629959883378
0.187703616245639,-0.27887295810048834,3.9773720398746155,-9.927867967607552
0.2352066067259618,-0.3068947384246501,5.796201950414959,-10.694830392249784
0.27718762746552167,-0.3334673216206372,7.167192959200564,-13.275787163839654
0.31266108571487494,-0.3584652284721768,5.879320217821976,-13.996382356079021
0.34079416743967184,-0.38177041559082314,11.002982738817957,-15.740948471236013
0.36092638938154986,-0.40327283283229204,11.377879695138923,-17.962164328284178
0.3725851052916436,-0.4228709429676463,9.48625513226951,-18.57635123544182
0.3754966022952688,-0.4404722011553819,9.89267494379396,-18.734066130258036
0.3695925268772834,-0.455993491950285,10.91625562393845,-19.397701203657324
0.3550114896246056,-0.469361521785444,11.168424218983487,-22.228553817292703
0.3320958110511829,-0.4805131650740668,11.630906607581514,-21.84773179462895
0.30138348490401423,-0.4893957622967649,9.127577195108207,-22.776293345503344
0.2635955476285198,-0.4959673686666972,9.125322966780226,-22.68165228332591
0.21961915052162087,-0.5001969521983445,5.920627333496039,-22.247829261254985
0.17048673198933148,-0.5020645402446062,5.124215309779897,-21.869888869062343
0.1173517788839222,-0.501561313810256,4.4406459861807,-18.12297057576425
0.061461745974242026,-0.4986896491963906,2.634096100612805,-20.412218547205164
0.004128769321575559,-0.4934631067792251,0.43034335283146685,-20.55815243382912
-0.05330113887386383,-0.4859063669762214,-1.3541329473136225,-21.963369249027558
-0.10947969074004509,-0.4760551137019267,-0.898903072250443,-20.07711709694855
